step,group,training_loss,gradient_norm,parameter_norm,update_norm,relative_update_norm,optimizer
1,all,0.7067137956619263,1.9367536069069493,416.49817450304295,0.13108643495860992,0.0003147347167007864,adamw
1,matrix,0.7067137956619263,1.4087022469347645,283.7297420580372,0.130692771654066,0.0004606241513705415,adamw
1,fallback_decay,0.7067137956619263,1.2883131289239191,293.77558935571477,0.00895010695192763,3.046579524036116e-05,adamw
1,fallback_no_decay,0.7067137956619263,0.3268360371658628,81.63373037384314,0.004790454371465268,5.868229161557724e-05,adamw
1,fallback,0.7067137956619263,1.3291247170028941,304.9068100847321,0.010151495827513991,3.329376547769773e-05,adamw
2,all,0.6833463311195374,1.3042490449886293,416.49810689813313,0.09856156923767555,0.00023664349874651816,adamw
2,matrix,0.6833463311195374,0.9553801795764337,283.7297112424923,0.09815092441834444,0.00034593107640552606,adamw
2,fallback_decay,0.6833463311195374,0.8654147728607848,293.7755364340334,0.008178032911773702,2.7837692038765314e-05,adamw
2,fallback_no_decay,0.6833463311195374,0.19842266690216892,81.63368300448407,0.0037281019448900574,4.56686726321692e-05,adamw
2,fallback,0.6833463311195374,0.8878706458861296,304.9067464127035,0.008987711967878526,2.9476920644167374e-05,adamw
3,all,0.6899263858795166,0.928345888261529,416.49806495443516,0.07845570893927091,0.00018836992423447142,adamw
3,matrix,0.6899263858795166,0.7625283550242915,283.72971038202326,0.07799318194672739,0.0002748854952190757,adamw
3,fallback_decay,0.6899263858795166,0.51761947367705,293.7754832159176,0.008013893610866516,2.727897346347485e-05,adamw
3,fallback_no_decay,0.6899263858795166,0.11156467409681665,81.63366351313809,0.002852953589174248,3.494824887670385e-05,adamw
3,fallback,0.6899263858795166,0.5295059924458222,304.9066899189359,0.008506575984981819,2.789894832167645e-05,adamw
4,all,0.7150082588195801,1.3534540989522466,416.49803839069676,0.06554380489247436,0.00015736882014073466,adamw
4,matrix,0.7150082588195801,1.0273330637933904,283.7297043587401,0.06502668050253173,0.0002291853108912198,adamw
